GO_term	taxon	taxon_id	lineage
GO:0008893	root	1.0	root
GO:0043266	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0140759	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0046540	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0008057	Bilateria	33213.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria
GO:0110050	cellular organisms	131567.0	root | cellular organisms
GO:0010521	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0008703	root	1.0	root
GO:0045487	Mesangiospermae	1437183.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae
GO:0080148	Magnoliopsida	3398.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida
GO:0045785	cellular organisms	131567.0	root | cellular organisms
GO:0003755	root	1.0	root
GO:0015995	cellular organisms	131567.0	root | cellular organisms
GO:1903026	Homo sapiens	9606.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Euarchontoglires | Primates | Haplorrhini | Simiiformes | Catarrhini | Hominoidea | Hominidae | Homininae | Homo | Homo sapiens
GO:0005686	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0016899	root	1.0	root
GO:0046825	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0016783	cellular organisms	131567.0	root | cellular organisms
GO:0042583	Gnathostomata	7776.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata
GO:0006311	Opisthokonta	33154.0	root | cellular organisms | Eukaryota | Opisthokonta
GO:0009831	Brassicaceae	3700.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae
GO:0048260	Opisthokonta	33154.0	root | cellular organisms | Eukaryota | Opisthokonta
GO:0004823	root	1.0	root
GO:0031942	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0031076	Euteleostomi	117571.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi
GO:2000069	Arabidopsis thaliana	3702.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae | Camelineae | Arabidopsis | Arabidopsis thaliana
GO:0034719	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0045770	Arabidopsis thaliana	3702.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae | Camelineae | Arabidopsis | Arabidopsis thaliana
GO:0004124	root	1.0	root
GO:0009258	cellular organisms	131567.0	root | cellular organisms
GO:0001729	cellular organisms	131567.0	root | cellular organisms
GO:0000444	cellular organisms	131567.0	root | cellular organisms
GO:0045540	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0010155	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0034775	cellular organisms	131567.0	root | cellular organisms
GO:0000302	root	1.0	root
GO:0039693	Unknown		3470597
GO:0090058	Mesangiospermae	1437183.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae
GO:0006614	cellular organisms	131567.0	root | cellular organisms
GO:0017124	root	1.0	root
GO:0031461	cellular organisms	131567.0	root | cellular organisms
GO:0009926	Streptophyta	35493.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta
GO:0003094	Eumetazoa	6072.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa
GO:1904750	Opisthokonta	33154.0	root | cellular organisms | Eukaryota | Opisthokonta
GO:1904274	Bilateria	33213.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria
GO:0005747	Unknown		
GO:0006189	root	1.0	root
GO:0030880	cellular organisms	131567.0	root | cellular organisms
GO:0016323	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0030513	Eumetazoa	6072.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa
GO:1904757	Caenorhabditis elegans	6239.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Nematoda | Chromadorea | Rhabditida | Rhabditina | Rhabditomorpha | Rhabditoidea | Rhabditidae | Peloderinae | Caenorhabditis | Caenorhabditis elegans
GO:0070813	cellular organisms	131567.0	root | cellular organisms
GO:0030917	Euteleostomi	117571.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi
GO:0035515	cellular organisms	131567.0	root | cellular organisms
GO:0051851	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0007030	cellular organisms	131567.0	root | cellular organisms
GO:0070646	cellular organisms	131567.0	root | cellular organisms
GO:0042562	cellular organisms	131567.0	root | cellular organisms
GO:0050833	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0004651	root	1.0	root
GO:0035925	root	1.0	root
GO:0052861	cellular organisms	131567.0	root | cellular organisms
GO:1904049	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0004048	cellular organisms	131567.0	root | cellular organisms
GO:0030149	cellular organisms	131567.0	root | cellular organisms
GO:0036104	cellular organisms	131567.0	root | cellular organisms
