ProteinID	sim_BP	sim_MF	sim_CC
CSH1-1g00347	4.48935712831403	8.47053251057437	7.78949597309689
CSH1-12g55754	NA	NA	7.36212014074579
CSH1-4g20121	2.07143002643272	NA	4.83659510404265
CSH1-5g22802	NA	2.22394619852895	NA
CSH1-11g52099	NA	7.16409037105787	NA
CSH1-4g19066	9.41493695859311	NA	6.87459480018014
CSH1-4g18417	7.48939138064655	6.67435438247757	NA
CSH1-1g01133	NA	4.60728413260028	10.7852282466509
CSH1-3g12792	3.39983247466236	NA	4.18986119182247
CSH1-8g38889	NA	9.88934851203685	7.08543565309464
CSH1-2g08032	NA	NA	5.37805647519076
CSH1-8g39421	NA	NA	4.83659510404265
CSH1-3g14492	4.35467118989792	3.885505139366	5.37805647519076
CSH1-3g12435	0.681742952307852	3.31785717973332	NA
CSH1-2g11785	10.4386546563709	NA	5.96534166586873
CSH1-4g20871	7.26169650465919	7.7708293731467	7.5489048004427
CSH1-8g37337	NA	3.31785717973332	NA
CSH1-1g05275	NA	NA	4.07185627735755
CSH1-12g54362	5.48304918119804	6.35496112086639	NA
CSH1-11g49867	7.2196361522252	10.7852282466509	7.4179324166644
CSH1-2g08515	5.53963946186814	9.95692603005488	5.98566289067545
CSH1-5g26049	NA	7.16409037105787	NA
CSH1-10g48277	10.0920810660909	10.7852282466509	NA
CSH1-7g36202	NA	7.16409037105787	NA
CSH1-3g12589	NA	1.56930349638079	NA
CSH1-10g45149	NA	8.48124705908336	NA
CSH1-9g42327	3.30946203186876	1.56930349638079	3.21221099059833
CSH1-11g49469	7.64973403072173	6.96580504864867	9.17579033421678
CSH1-11g49255	NA	7.16409037105787	NA
CSH1-1g03515	NA	NA	3.21221099059833
CSH1-10g47125	9.05236029525101	8.48124705908336	7.6672896272253
CSH1-11g51346	10.7852282466509	8.70578670497104	7.35885686723386
CSH1-8g38881	NA	7.68598888840472	7.14957606997598
CSH1-4g19111	NA	7.16409037105787	NA
CSH1-1g03780	NA	2.44358033805706	NA
CSH1-2g09908	5.47106609542828	7.8142343772094	6.36650206014788
CSH1-5g25435	NA	8.91838547992149	NA
CSH1-6g30182	1.14410215696792	8.29207359030428	3.21221099059833
CSH1-8g38287	7.89283687789053	8.29310394149525	6.36650206014788
CSH1-11g50842	NA	1.56930349638079	NA
CSH1-11g51960	4.84178899403633	7.56000382253696	9.17579033421678
CSH1-6g32629	4.82343167009251	7.67596482711679	NA
CSH1-11g53524	9.39893388553099	5.46043287654096	9.08635498995424
CSH1-2g08010	10.7852282466509	NA	8.17184717339017
CSH1-12g57494	9.68661595798277	10.0920810660909	7.81128011551522
CSH1-8g36883	1.32972386110815	4.16111045722765	NA
CSH1-11g50091	NA	NA	4.83659510404265
CSH1-10g48225	NA	7.45302373647567	8.37211354721778
CSH1-11g50173	NA	5.69301386465514	NA
CSH1-5g22042	9.40782022560535	9.75058306176734	1.64823790153884
CSH1-5g27319	NA	1.56930349638079	NA
CSH1-9g41318	4.76496138943054	3.65785898136146	NA
CSH1-1g00649	NA	7.97627069658121	NA
CSH1-5g25220	NA	4.02134333808844	NA
CSH1-1g06686	0.681742952307852	NA	3.21221099059833
CSH1-5g24352	NA	NA	3.21221099059833
CSH1-12g54366	6.08474788085846	7.95201490259466	7.78949597309689
CSH1-7g36195	3.4382217681531	4.88436498782046	3.21221099059833
CSH1-4g17564	NA	1.56930349638079	NA
CSH1-2g09425	NA	7.16409037105787	NA
CSH1-6g28197	8.11480282181764	7.68912919794945	8.63266966198132
CSH1-9g44973	NA	7.16409037105787	NA
CSH1-5g21617	4.37747670556268	3.76251305502587	NA
CSH1-8g40991	NA	2.01961369673616	NA
